name,gender,age,city,platform_primary,platform_secondary,sector,tenure_platform_1_months,tenure_platform_2_months,working_hours_per_day,rating,avg_monthly_earnings,total_earnings,std_dev_earnings,recurring_expenses,cash_inflow_to_outflow_ratio,savings,net_savings_ratio,emergency_fund_months_covered,dependent_count,credit_card_user,credit_score,credit_history_length_months,education,loan_amount_requested,loan_term_months,interest_rate,purpose_of_loan,location_stability,earnings_trend_slope_6mo,num_loan_rejections_6mo,assets_inr,repayment_status
Yutika Sachdeva,Female,23,Sri Ganganagar,Vedantu,UrbanPro,tutoring,58,52,7,4.250589256019087,28935,347220,4324.34,15744,0.81,10000,0.03,3.9,0,False,,0,graduate,30309,12,21.61,debt_consolidation,stable,0.03,0,{},1.0
Samesh Kakar,Male,38,Ujjain,Zomato,Instamart,food_delivery,36,35,10,4.5,33483,401796,4488.97,18618,0.87,10000,0.02,3.4,1,False,,0,12th,34285,12,21.09,debt_consolidation,semi-stable,0.15,0,"{""vehicle"": 137646}",1.0
Oscar Manne,Male,41,Farrukhabad,QuickFix,HandyManGo,other,19,24,9,4.250589256019087,30740,368880,10839.77,12719,0.85,0,0.0,2.5,0,False,,0,10th,55002,12,11.06,education,stable,0.07,0,"{""home"": 530746, ""land"": 252041}",0.0
Quincy Koshy,Male,38,Howrah,Zepto,Zomato,food_delivery,24,25,8,4.2,22002,264024,2809.37,14879,1.13,10000,0.04,0.2,0,False,,0,graduate,137600,36,18.36,business,semi-stable,-0.08,0,"{""vehicle"": 86934, ""home"": 1124598}",0.0
Tanveer Dave,Male,45,Rajahmundry,Uber,Ola,cab,6,9,10,4.4,11727,140724,4305.66,6444,1.22,10000,0.07,0.3,0,False,,0,12th,83479,36,18.21,vehicle,stable,-0.19,2,"{""home"": 422138, ""land"": 321361}",0.0
Victor Anne,Male,47,Ballia,Rapido,Uber,cab,53,55,10,3.8,50117,601404,8889.29,28091,1.19,10000,0.02,1.9,0,False,,0,10th,52101,12,19.95,wedding,stable,0.01,0,"{""vehicle"": 88590}",1.0
Manan Mutti,Male,19,Meerut,Swiggy,Zepto,food_delivery,57,53,11,4.2,21923,263076,6109.76,14883,1.28,0,0.0,3.3,1,False,,0,10th,149639,24,23.87,wedding,unstable,0.05,0,"{""home"": 582830}",0.0
Om Tak,Male,42,Raiganj,Swiggy,Instamart,food_delivery,16,14,12,4.1,30570,366840,11307.0,17953,1.16,25000,0.07,0.5,1,False,,0,12th,34519,36,19.71,debt_consolidation,semi-stable,0.1,0,"{""vehicle"": 228516}",1.0
Laban Rana,Male,41,Gopalpur,Swiggy,Zepto,food_delivery,22,26,12,4.4,25218,302616,7939.98,12679,1.28,25000,0.08,0.9,0,False,,0,10th,100474,12,12.15,business,stable,-0.01,0,"{""vehicle"": 279687, ""land"": 686230}",1.0
Ishaan Hari,Male,31,Unnao,HandyManGo,QuickFix,other,59,53,7,4.250589256019087,23532,282384,3233.27,13076,1.13,10000,0.04,2.4,1,False,,0,10th,67545,12,21.24,vehicle,stable,-0.02,0,{},1.0
Owen Badal,Male,41,Raebareli,Zepto,Swiggy,food_delivery,43,37,12,5.0,55588,667056,14150.04,36587,0.73,0,0.0,2.1,0,True,626.0,29,12th,102374,36,15.98,business,stable,0.11,0,"{""vehicle"": 123511}",1.0
Isha Shanker,Female,21,Parbhani,UrbanClap,Yes Madam,beauty,30,25,9,3.5,8000,96000,1780.96,4179,1.22,10000,0.1,2.2,2,False,,0,10th,73230,24,10.28,medical,stable,-0.04,0,{},0.0
Raghav Naidu,Male,38,Ranchi,Instamart,Swiggy,food_delivery,44,39,9,4.0,11641,139692,4018.86,4776,0.79,0,0.0,3.3,3,False,,0,graduate,121496,36,16.11,wedding,semi-stable,0.18,0,"{""land"": 536300}",0.0
Ethan Chandran,Male,26,Bijapur,Rapido,Ola,cab,23,26,12,4.7,33456,401472,10202.58,16133,1.29,0,0.0,2.2,0,False,,0,graduate,11622,24,11.49,debt_consolidation,stable,0.07,0,"{""vehicle"": 259526}",1.0
Jack Lanka,Male,18,Ajmer,Uber,Rapido,cab,36,36,13,4.3,17614,211368,3331.45,11996,0.97,10000,0.05,2.9,1,False,,0,10th,124130,36,18.33,medical,stable,-0.14,0,"{""vehicle"": 68784}",0.0
Aradhana Raval,Female,47,Rajkot,Rapido,Ola,cab,49,54,13,4.2,21796,261552,8393.01,14426,1.49,0,0.0,2.9,1,False,,0,12th,77957,12,18.92,vehicle,stable,0.04,0,"{""vehicle"": 278872, ""home"": 1136904}",1.0
Janaki Zachariah,Female,40,Kolhapur,KaamWaliBai,HouseHelpIndia,domestic,46,51,9,4.250589256019087,26661,319932,5583.06,17743,1.41,0,0.0,2.1,1,False,,0,12th,104071,12,17.55,business,stable,-0.13,0,"{""home"": 1349642}",1.0
Ishani Bhagat,Female,46,Fatehpur,HouseHelpIndia,KaamWaliBai,domestic,41,38,7,4.250589256019087,29684,356208,6688.7,14000,1.01,10000,0.03,0.4,3,False,,0,10th,122573,12,18.25,debt_consolidation,stable,-0.11,1,"{""home"": 801096}",0.0
Tejas Kohli,Male,30,Kadapa,HandyManGo,,other,12,0,11,4.250589256019087,30460,365520,7730.95,15694,0.84,0,0.0,0.1,3,False,,0,graduate,83781,12,23.57,medical,unstable,0.14,0,"{""vehicle"": 253958, ""home"": 568581}",0.0
Gaurav Balan,Male,28,Jammu,HandyManGo,QuickFix,other,26,31,8,4.250589256019087,29347,352164,3700.54,14026,1.08,0,0.0,2.9,2,False,,0,10th,136267,12,11.53,debt_consolidation,stable,0.11,0,{},0.0
Yamini Hora,Female,45,Begusarai,UrbanPro,Vedantu,tutoring,29,28,6,4.250589256019087,22125,265500,2914.97,14702,1.35,0,0.0,3.8,2,False,,0,graduate,88249,36,11.8,debt_consolidation,stable,0.0,0,"{""vehicle"": 204231}",0.0
Wahab Nagy,Male,41,Bharatpur,UrbanPro,Vedantu,tutoring,34,31,8,4.250589256019087,29863,358356,11382.84,14642,1.06,0,0.0,2.8,3,True,693.0,58,12th,30953,24,11.05,vehicle,stable,0.02,0,"{""home"": 326548}",1.0
Mitesh Chana,Male,46,Sikar,HandyManGo,QuickFix,other,4,1,10,4.250589256019087,33640,403680,5592.01,16214,1.28,10000,0.02,3.8,1,True,391.0,48,graduate,58901,12,20.64,education,stable,-0.08,0,"{""vehicle"": 266089}",1.0
Forum Khare,Female,25,Raiganj,KaamWaliBai,HouseHelpIndia,domestic,19,24,9,4.250589256019087,34993,419916,4730.79,19859,1.24,0,0.0,0.9,0,True,513.0,17,12th,59268,36,18.26,debt_consolidation,stable,0.05,0,"{""home"": 1133978}",1.0
Samarth Dar,Male,34,Ghaziabad,Ola,Uber,cab,32,26,13,4.8,20431,245172,5317.63,10365,1.21,10000,0.04,1.3,0,False,,0,10th,85897,24,21.21,vehicle,stable,0.18,1,{},1.0
Indrajit Nori,Male,37,Hubli–Dharwad,Zepto,Instamart,food_delivery,27,23,9,4.5,23224,278688,6455.89,16089,1.5,0,0.0,1.3,2,True,418.0,40,12th,102447,24,16.97,business,stable,-0.12,0,"{""vehicle"": 150815, ""home"": 802079}",0.0
Chatura Sehgal,Male,45,Katni,Zomato,Zepto,food_delivery,38,33,11,4.6,22802,273624,5280.59,14545,0.81,0,0.0,2.6,1,False,,0,10th,96652,12,12.95,vehicle,semi-stable,0.05,0,"{""vehicle"": 292848, ""home"": 1325262}",1.0
Megha Goswami,Female,31,Aligarh,UrbanClap,Yes Madam,beauty,42,47,7,4.0,27994,335928,8314.81,19342,1.06,0,0.0,1.8,1,False,,0,10th,92189,12,14.63,vehicle,stable,-0.01,0,"{""home"": 731100}",0.0
Gayathri Bumb,Female,45,Mango,Vedantu,UrbanPro,tutoring,28,22,7,4.250589256019087,8000,96000,1354.71,4285,1.46,0,0.0,3.7,3,False,,0,12th,43997,12,19.63,vehicle,stable,0.09,0,"{""vehicle"": 172211, ""land"": 126976}",0.0
Zehaan Kapur,Male,25,Morbi,QuickFix,HandyManGo,other,32,27,11,4.250589256019087,31441,377292,6674.58,20413,1.23,0,0.0,3.5,3,False,,0,10th,64061,12,22.86,education,semi-stable,-0.12,0,"{""vehicle"": 89821}",0.0
Finn Lala,Male,21,Suryapet,Zepto,Swiggy,food_delivery,9,11,9,3.9,20938,251256,4453.55,12334,1.18,0,0.0,2.4,0,False,,0,10th,113896,12,18.35,education,stable,0.11,0,"{""vehicle"": 265833}",0.0
Gopal Kata,Male,29,Chennai,Uber,Rapido,cab,18,16,14,4.1,31839,382068,11039.16,15061,1.13,10000,0.03,3.7,1,True,576.0,7,12th,56413,12,16.8,wedding,unstable,0.1,0,{},1.0
Anay Baria,Male,27,Surat,KaamWaliBai,,domestic,44,0,8,4.250589256019087,23726,284712,2681.6,9509,0.98,0,0.0,2.6,2,False,,0,12th,47384,24,19.05,medical,unstable,0.07,0,{},0.0
Jonathan Murthy,Male,50,Guntur,Swiggy,Zomato,food_delivery,59,61,8,4.1,34796,417552,5900.85,15343,0.97,25000,0.06,2.8,2,False,,0,12th,41910,36,20.14,wedding,stable,0.16,1,"{""home"": 1074347}",1.0
Qabil Hayer,Male,30,Bulandshahr,Swiggy,Instamart,food_delivery,5,4,11,3.8,15222,182664,4628.09,10629,1.3,10000,0.05,2.6,3,False,,0,graduate,63363,24,10.84,wedding,stable,-0.03,0,"{""home"": 661023}",0.0
Anthony Deep,Male,40,Silchar,Instamart,Zomato,food_delivery,18,23,11,3.7,43554,522648,14223.91,26682,1.36,10000,0.02,0.1,0,False,,0,10th,134481,24,15.33,education,stable,0.04,0,"{""land"": 807648}",1.0
Advik Trivedi,Male,35,Shimoga,Swiggy,Zepto,food_delivery,37,32,10,3.7,34746,416952,3713.24,19872,0.84,25000,0.06,3.7,1,False,,0,12th,39984,24,22.92,medical,semi-stable,-0.25,0,"{""vehicle"": 67043, ""home"": 462199}",1.0
Anita Parmer,Female,49,Dindigul,KaamWaliBai,HouseHelpIndia,domestic,7,3,9,4.250589256019087,25392,304704,5483.1,11770,1.25,0,0.0,1.9,1,False,,0,12th,54936,12,11.99,wedding,stable,-0.02,0,"{""vehicle"": 299174}",0.0
Maanav Raja,Male,24,Aurangabad,Instamart,Zomato,food_delivery,23,26,12,4.7,43309,519708,9769.39,19788,0.79,10000,0.02,2.5,3,False,,0,graduate,123132,24,23.66,debt_consolidation,stable,-0.2,0,"{""vehicle"": 172060, ""home"": 689611}",1.0
Advaith Bhargava,Male,46,Kurnool,Zomato,Swiggy,food_delivery,52,55,9,3.9,28720,344640,3530.41,18219,0.78,0,0.0,3.3,1,False,,0,10th,61399,12,13.18,wedding,semi-stable,0.02,2,"{""vehicle"": 61957, ""home"": 1195448}",0.0
Oscar Venkataraman,Male,28,Eluru,HandyManGo,,other,34,0,7,4.250589256019087,26486,317832,7895.23,13966,0.8,0,0.0,0.3,1,False,,0,graduate,71063,12,20.77,medical,stable,0.13,0,"{""vehicle"": 60487}",0.0
Varenya Taneja,Female,30,Alappuzha,HouseHelpIndia,KaamWaliBai,domestic,24,21,8,4.250589256019087,16641,199692,4724.08,7263,1.21,0,0.0,0.8,0,False,,0,12th,87794,24,19.4,medical,stable,-0.2,0,{},0.0
Mahika Gupta,Female,42,Raebareli,Vedantu,UrbanPro,tutoring,33,29,6,4.250589256019087,22084,265008,7626.39,11102,1.4,0,0.0,1.7,0,False,,0,graduate,18706,36,14.17,debt_consolidation,stable,-0.12,0,{},1.0
Vedant Babu,Male,42,Yamunanagar,Zomato,,food_delivery,16,0,10,4.6,23927,287124,2646.17,15017,1.32,10000,0.03,2.7,1,False,,0,graduate,22087,24,17.03,wedding,stable,0.0,0,"{""vehicle"": 215760, ""home"": 514047, ""land"": 250196}",1.0
Bina Issac,Female,46,Gangtok,HouseHelpIndia,KaamWaliBai,domestic,21,15,8,4.250589256019087,11709,140508,2118.7,5207,1.05,10000,0.07,2.8,0,False,,0,none,23428,36,21.04,debt_consolidation,stable,-0.01,0,{},0.0
Henry Oza,Male,21,Alwar,Instamart,Zomato,food_delivery,51,50,11,3.5,14973,179676,2999.89,8316,1.05,0,0.0,1.2,1,False,,0,10th,140349,12,13.16,debt_consolidation,stable,0.03,1,"{""land"": 913521}",0.0
Veda Kurian,Female,23,Danapur,Instamart,Zomato,food_delivery,30,30,11,3.9,27827,333924,3259.0,18696,1.2,0,0.0,1.0,2,False,,0,graduate,17896,12,20.87,debt_consolidation,stable,0.01,0,"{""vehicle"": 128797, ""land"": 313105}",1.0
Pallavi Yohannan,Female,38,Tirupati,Instamart,Zomato,food_delivery,51,47,8,3.8,26104,313248,8289.24,17858,0.79,0,0.0,3.9,1,True,460.0,40,10th,101006,36,13.51,business,stable,0.04,0,"{""vehicle"": 203225, ""home"": 1316302}",0.0
Hritik Pillai,Male,19,Durg,Rapido,,cab,9,0,12,3.8,23536,282432,7905.35,13261,1.3,10000,0.04,3.0,3,False,,0,10th,106468,24,19.23,education,stable,0.14,0,"{""vehicle"": 73537}",1.0
Oliver Shenoy,Male,36,Nagercoil,Instamart,Swiggy,food_delivery,48,49,11,3.8,34661,415932,10148.82,18519,0.85,0,0.0,2.2,0,True,635.0,42,graduate,75794,36,22.56,business,stable,0.03,0,{},1.0
Chaman Malhotra,Female,33,Agartala,HandyManGo,QuickFix,other,6,8,7,4.250589256019087,59752,717024,7642.83,27661,0.95,10000,0.01,1.5,3,False,,0,10th,105665,12,11.55,education,stable,-0.03,0,{},1.0
Odika Guha,Female,35,Guntakal,KaamWaliBai,,domestic,18,0,9,4.250589256019087,38128,457536,5257.07,18853,0.94,0,0.0,0.0,1,False,,0,10th,48547,36,13.18,education,stable,0.1,1,{},0.0
Amol Sani,Male,50,Katni,HandyManGo,QuickFix,other,16,20,11,4.250589256019087,20421,245052,4570.8,8426,1.37,0,0.0,3.0,2,False,,0,10th,28351,24,19.91,education,stable,-0.13,2,{},1.0
Joshua Solanki,Male,34,Firozabad,Rapido,Ola,cab,6,10,10,4.6,41730,500760,7927.69,27361,1.17,25000,0.05,2.7,2,False,,0,graduate,127886,12,18.77,business,stable,-0.07,0,"{""vehicle"": 78733, ""home"": 1391552}",1.0
Sanya Cherian,Female,18,Rewa,Uber,Ola,cab,59,55,13,4.2,17106,205272,6576.1,9472,1.21,0,0.0,0.4,2,False,,0,12th,21093,24,13.68,education,stable,-0.05,0,"{""vehicle"": 140463, ""land"": 226021}",1.0
Upkaar Maharaj,Male,37,Agra,Uber,Ola,cab,28,28,14,3.7,24335,292020,2701.58,13910,1.11,10000,0.03,2.1,0,False,,0,graduate,146535,12,11.22,medical,stable,-0.0,0,"{""home"": 629677}",1.0
Abeer Ramachandran,Male,25,Noida,Zomato,Instamart,food_delivery,38,33,11,4.1,26158,313896,3514.23,15143,1.18,0,0.0,2.2,1,False,,0,12th,71350,12,15.78,medical,semi-stable,-0.06,0,"{""vehicle"": 78934, ""home"": 506218}",1.0
Osha Gola,Female,19,Karimnagar,Rapido,Uber,cab,33,35,13,4.7,25934,311208,9674.43,15449,1.31,10000,0.03,3.4,1,False,,0,12th,72493,24,16.25,education,stable,-0.01,0,"{""vehicle"": 91407, ""land"": 785716}",1.0
Anthony Modi,Male,27,Shimla,Swiggy,Zomato,food_delivery,7,8,10,4.5,22235,266820,4299.48,10347,0.73,0,0.0,4.0,3,False,,0,12th,148141,36,10.39,education,stable,-0.01,0,"{""vehicle"": 239053}",0.0
Liam Golla,Male,40,Machilipatnam,Instamart,Zomato,food_delivery,34,33,11,3.5,22039,264468,3206.13,9835,0.84,0,0.0,2.2,2,False,,0,graduate,146570,36,21.74,vehicle,semi-stable,0.2,0,"{""land"": 624685}",0.0
Balvan Sheth,Male,28,Rajahmundry,Uber,Rapido,cab,10,15,14,4.6,25682,308184,6123.45,15750,0.75,10000,0.03,3.6,2,True,390.0,57,graduate,36421,24,17.47,debt_consolidation,stable,-0.04,1,"{""vehicle"": 165668}",1.0
Ranveer Chander,Male,28,Lucknow,Ola,Rapido,cab,49,46,12,4.4,29291,351492,6825.88,15903,1.48,10000,0.03,4.0,0,True,728.0,30,12th,112239,36,13.37,business,stable,0.03,0,"{""land"": 884843}",1.0
Arya Yogi,Female,41,Kishanganj,KaamWaliBai,HouseHelpIndia,domestic,5,-1,8,4.250589256019087,35465,425580,3571.16,20920,1.02,0,0.0,0.3,2,True,435.0,3,graduate,148367,12,21.33,wedding,stable,-0.1,0,"{""vehicle"": 137205, ""home"": 1269882}",0.0
Devika Chadha,Female,33,Ambala,KaamWaliBai,HouseHelpIndia,domestic,5,6,8,4.250589256019087,32850,394200,11793.81,14641,1.03,0,0.0,1.1,0,True,530.0,24,12th,77904,24,17.69,debt_consolidation,stable,0.12,0,{},0.0
Manthan Dara,Male,31,Tumkur,Swiggy,Zomato,food_delivery,20,25,12,4.7,26512,318144,3787.58,12866,1.17,0,0.0,0.5,2,False,,0,10th,99678,12,11.44,vehicle,semi-stable,0.02,0,"{""vehicle"": 285112, ""home"": 1417064}",1.0
Jairaj Radhakrishnan,Male,21,Anand,HouseHelpIndia,KaamWaliBai,domestic,29,31,7,4.250589256019087,19006,228072,5120.0,7627,1.33,10000,0.04,0.7,0,False,,0,12th,108826,36,23.31,medical,stable,0.03,0,"{""vehicle"": 140012}",0.0
Devansh Raman,Male,24,Raichur,KaamWaliBai,,domestic,58,0,9,4.250589256019087,23324,279888,5637.05,14901,1.25,10000,0.04,3.0,3,True,692.0,20,10th,132118,36,11.76,wedding,stable,0.25,0,"{""vehicle"": 64522, ""home"": 919034}",1.0
Ishwar Dube,Male,41,Hosur,Vedantu,UrbanPro,tutoring,31,35,8,4.250589256019087,18127,217524,3262.91,7477,1.32,10000,0.05,1.6,0,False,,0,12th,86240,24,17.3,wedding,stable,0.12,0,"{""vehicle"": 116395, ""home"": 651970}",1.0
Qarin Bakshi,Male,30,Amritsar,HandyManGo,QuickFix,other,6,7,6,4.250589256019087,13259,159108,2149.66,6211,1.22,0,0.0,1.0,0,False,,0,graduate,59067,24,10.81,medical,stable,0.08,0,"{""vehicle"": 231406}",0.0
Hardik Thakkar,Male,36,Pune,Uber,,cab,28,0,14,4.5,34945,419340,4130.1,14060,1.44,0,0.0,2.5,3,False,,0,10th,57118,24,14.96,debt_consolidation,stable,-0.09,0,"{""vehicle"": 95076}",1.0
Elijah Mangat,Male,34,Tiruppur,HandyManGo,QuickFix,other,50,51,6,4.250589256019087,24641,295692,9497.35,17109,1.33,10000,0.03,2.3,3,False,,0,12th,48870,24,11.02,vehicle,stable,0.0,2,"{""home"": 872280}",1.0
Simon Kalla,Male,34,Danapur,Rapido,Uber,cab,44,49,11,3.6,20606,247272,7035.42,11424,1.49,0,0.0,3.2,1,False,,0,10th,93596,12,10.01,business,unstable,0.13,0,{},0.0
Kashish Bhargava,Female,46,Yamunanagar,HouseHelpIndia,KaamWaliBai,domestic,54,54,7,4.250589256019087,33060,396720,12413.1,15414,0.96,0,0.0,0.2,1,True,700.0,6,10th,44540,12,13.15,education,stable,-0.02,1,{},0.0
Ekalinga Sani,Male,32,Warangal,Zepto,Swiggy,food_delivery,36,37,12,4.0,8000,96000,2805.98,5179,0.74,0,0.0,2.1,1,False,,0,10th,47044,12,20.72,debt_consolidation,stable,0.02,2,"{""vehicle"": 126049}",0.0
Janani Lad,Female,22,Kozhikode,KaamWaliBai,HouseHelpIndia,domestic,59,63,8,4.250589256019087,15809,189708,2868.25,8248,1.32,25000,0.13,0.9,2,False,,0,12th,28375,36,19.25,vehicle,stable,0.06,0,"{""vehicle"": 200388, ""home"": 1157308}",1.0
Victor Anne,Male,42,Rajahmundry,Uber,Ola,cab,36,40,10,4.0,22804,273648,8098.65,10094,1.0,0,0.0,0.9,3,False,,0,10th,51520,36,20.18,debt_consolidation,stable,0.02,0,{},0.0
Vihaan Agrawal,Male,36,Bhubaneswar,UrbanClap,Yes Madam,beauty,50,46,9,3.7,22143,265716,5417.93,10363,0.95,25000,0.09,3.5,1,False,,0,12th,135355,24,14.06,education,stable,0.0,0,"{""vehicle"": 96728, ""home"": 768818, ""land"": 470489}",0.0
Laban Rajagopalan,Male,45,Maheshtala,Zomato,Instamart,food_delivery,41,38,8,3.8,25814,309768,3139.84,16404,0.71,25000,0.08,2.9,3,True,514.0,1,12th,114245,12,18.42,vehicle,unstable,0.04,2,"{""vehicle"": 150900}",0.0
Akshay Nagy,Male,29,Jamnagar,Rapido,Ola,cab,31,30,12,3.6,32587,391044,9159.92,17242,1.06,0,0.0,2.8,1,False,,0,10th,40109,24,18.98,education,stable,-0.13,0,"{""vehicle"": 181439, ""home"": 302422, ""land"": 205359}",0.0
Nidhi Luthra,Female,38,Gorakhpur,Yes Madam,UrbanClap,beauty,11,8,7,4.9,29056,348672,6266.92,13544,0.77,25000,0.07,2.9,0,False,,0,graduate,40981,12,23.68,vehicle,stable,0.03,0,"{""vehicle"": 158600, ""land"": 630508}",1.0
Avi Nori,Male,37,Gulbarga,Ola,Rapido,cab,5,8,10,4.2,19411,232932,2305.21,11228,0.9,0,0.0,1.5,1,False,,0,graduate,146355,12,23.06,business,stable,-0.09,2,"{""vehicle"": 242685}",0.0
Maya Mohanty,Female,26,Ozhukarai,Rapido,Ola,cab,52,57,12,4.2,21889,262668,7663.18,13904,0.87,0,0.0,1.7,1,False,,0,graduate,136649,24,10.31,debt_consolidation,stable,0.1,0,"{""vehicle"": 281006, ""home"": 919709}",0.0
Damini Dalal,Female,20,Gaya,HouseHelpIndia,KaamWaliBai,domestic,44,44,7,4.250589256019087,16947,203364,3948.51,10554,0.92,0,0.0,0.3,1,False,,0,graduate,143663,12,21.33,wedding,stable,-0.07,1,"{""vehicle"": 257217}",0.0
Leela Raja,Female,29,Sri Ganganagar,Vedantu,UrbanPro,tutoring,50,50,6,4.250589256019087,8000,96000,1723.53,4978,1.21,0,0.0,3.5,2,False,,0,graduate,74925,36,10.27,vehicle,stable,-0.11,0,"{""vehicle"": 102973, ""land"": 319356}",0.0
Rishi Chaudhry,Male,26,Chandrapur,Zomato,Zepto,food_delivery,56,50,10,4.1,18680,224160,4670.63,10456,1.42,10000,0.04,0.5,0,False,,0,10th,47158,24,12.0,medical,stable,0.0,0,"{""vehicle"": 248189, ""home"": 869106}",1.0
Nihal Raghavan,Male,33,Davanagere,Ola,Rapido,cab,31,27,13,4.3,22864,274368,4244.76,11921,1.29,10000,0.04,1.9,1,True,729.0,14,10th,52215,24,10.22,business,stable,0.03,0,"{""home"": 750562}",1.0
Warinder Sheth,Male,21,Kumbakonam,Zepto,Zomato,food_delivery,11,16,10,4.8,19490,233880,6810.01,8354,0.87,10000,0.04,0.4,2,True,719.0,27,graduate,78975,36,20.52,vehicle,stable,-0.08,0,{},1.0
Robert Deol,Male,43,Satna,QuickFix,HandyManGo,other,59,60,9,4.250589256019087,39474,473688,6342.53,25992,1.23,0,0.0,3.5,1,False,,0,graduate,31839,24,11.08,vehicle,semi-stable,-0.02,0,"{""vehicle"": 223089, ""home"": 1426882}",1.0
Joshua Modi,Male,30,Guwahati,Zomato,Instamart,food_delivery,35,40,12,4.6,20123,241476,6682.82,10850,0.86,0,0.0,1.1,2,False,,0,graduate,118036,24,18.82,vehicle,stable,0.17,0,"{""home"": 1197605}",0.0
